Aircraft_Type,Wind_Direction,Arrival_Hour,Runway_Assigned
A320,90,12.6,27L
A320,290,12.6,27L
A380,140,18.2,27L
A380,230,16.3,27L
B737,110,13.0,09R
B747,160,18.1,18L
A380,230,7.2,27L
A380,240,11.7,27L
A320,310,8.9,27L
A320,180,12.5,27L
B737,150,8.1,09R
B737,200,12.7,09R
A380,210,15.7,27L
A320,210,16.5,27L
B737,230,15.7,09R
B737,140,15.7,09R
A380,290,9.2,27L
A380,80,16.5,27L
A320,300,13.0,27L
B737,150,11.0,09R
A380,280,8.3,27L
B737,150,13.8,09R
A320,200,7.7,27L
B747,250,10.1,18L
B747,250,15.0,18L
B737,240,17.9,09R
B747,160,12.8,18L
A380,230,9.4,27L
B737,130,7.7,09R
A320,190,15.1,27L
B737,90,16.4,09R
A380,290,8.8,27L
A320,200,9.2,27L
B747,270,11.6,18L
A320,140,8.1,27L
B737,310,10.9,09R
B747,220,13.3,18L
A320,270,8.9,27L
A320,310,12.9,27L
B737,120,13.9,09R
B747,140,17.1,18L
A380,250,13.2,27L
A380,160,13.9,27L
A320,120,15.7,27L
A320,270,16.3,27L
A320,230,11.9,27L
B737,130,13.8,09R
A320,140,9.3,27L
A320,170,8.9,27L
A320,140,11.3,27L
A380,190,12.6,27L
A380,110,8.2,27L
A320,260,12.5,27L
A320,230,17.1,27L
B737,270,11.3,09R
B737,190,16.5,09R
A320,230,8.7,27L
B737,280,17.0,09R
A320,90,10.2,27L
A320,290,17.5,27L
B747,100,15.5,18L
A380,120,16.5,27L
A380,170,10.6,27L
B737,270,17.5,09R
B747,240,7.6,18L
B747,210,7.9,18L
A380,220,9.2,27L
A320,150,10.1,27L
B737,130,7.3,09R
B737,80,9.5,09R
B747,180,13.5,18L
B747,180,10.6,18L
B747,240,16.3,18L
B737,160,15.3,09R
A320,100,16.6,27L
B737,110,8.6,09R
A320,170,9.5,27L
B747,260,9.6,18L
B747,210,10.0,18L
A380,110,12.1,27L
A380,280,13.4,27L
B737,200,15.1,09R
B747,270,14.6,18L
A320,230,10.3,27L
B747,290,17.7,18L
B747,170,15.4,18L
B747,100,8.4,18L
B737,80,8.9,09R
B747,180,13.0,18L
A320,110,8.9,27L
A380,120,9.6,27L
A320,190,17.7,27L
A380,150,10.6,27L
B737,90,9.0,09R
B747,170,9.2,18L
A380,260,14.9,27L
A380,160,18.4,27L
B737,110,7.7,09R
B737,250,12.6,09R
A320,230,15.8,27L
A320,260,14.0,27L
A380,230,12.9,27L
A380,300,10.6,27L
B747,150,13.7,18L
A320,220,14.4,27L
A320,180,15.3,27L
A380,160,15.6,27L
B747,240,11.8,18L
B737,160,15.2,09R
B737,250,8.8,09R
A320,270,15.0,27L
B747,270,8.9,18L
A380,160,11.8,27L
A380,180,12.5,27L
A320,150,15.9,27L
B737,90,15.2,09R
B747,130,17.5,18L
B747,180,16.7,18L
A320,120,17.4,27L
A320,190,17.6,27L
B747,240,15.0,18L
A380,120,7.5,27L
B747,280,8.7,18L
A380,110,14.9,27L
B737,250,10.6,09R
A380,120,8.0,27L
A380,200,15.1,27L
A380,100,9.4,27L
B737,220,17.4,09R
B747,180,15.1,18L
B747,100,12.0,18L
B737,230,9.2,09R
A320,90,13.7,27L
A320,140,7.2,27L
A320,80,16.9,27L
A320,310,15.7,27L
B737,230,7.1,09R
A320,100,9.2,27L
A320,150,9.6,27L
B747,190,11.4,18L
B737,210,9.3,09R
A380,220,16.9,27L
B737,220,7.6,09R
A320,200,14.5,27L
A320,200,9.8,27L
A320,170,16.6,27L
A380,160,12.1,27L
A320,130,15.9,27L
A380,260,11.5,27L
A320,310,16.0,27L
B737,200,8.4,09R
A380,310,11.3,27L
A320,170,12.0,27L
A380,230,10.1,27L
A320,200,8.9,27L
A380,270,8.9,27L
B737,90,9.2,09R
B747,120,17.5,18L
A320,240,11.6,27L
A320,170,8.7,27L
B747,100,16.7,18L
B747,130,9.6,18L
B747,170,17.0,18L
B747,200,8.2,18L
A380,130,9.2,27L
B747,290,13.3,18L
A380,160,9.7,27L
B747,170,18.2,18L
A320,220,10.0,27L
B737,120,16.3,09R
A380,260,7.9,27L
A380,140,13.8,27L
B747,80,7.0,18L
A320,130,10.9,27L
A380,310,16.5,27L
B737,160,11.7,09R
B747,170,16.3,18L
A380,280,13.4,27L
A320,100,11.9,27L
B747,110,13.1,18L
B747,140,8.8,18L
A320,280,13.3,27L
A380,220,12.7,27L
B747,170,12.9,18L
A380,100,10.8,27L
B747,240,17.3,18L
A320,180,13.6,27L
B747,140,10.0,18L
A380,250,14.0,27L
A380,170,12.1,27L
A380,110,8.3,27L
A380,290,16.8,27L
B737,120,17.9,09R
A320,110,7.1,27L
A320,240,17.9,27L
B737,300,8.2,09R
B737,130,18.1,09R
A380,140,15.5,27L
B747,220,7.4,18L
B737,260,11.1,09R
B737,250,16.6,09R
A380,100,7.8,27L
A320,300,12.0,27L
B747,230,11.7,18L
B747,210,17.7,18L
A380,210,7.2,27L
A380,280,13.4,27L
B747,180,9.8,18L
A320,280,9.0,27L
B737,250,15.7,09R
A380,220,16.5,27L
B737,200,11.1,09R
A380,220,13.1,27L
B747,120,12.3,18L
B747,220,12.9,18L
A380,190,10.4,27L
B737,160,13.0,09R
B737,300,12.4,09R
A320,80,13.9,27L
A320,80,11.5,27L
A380,290,18.5,27L
B737,270,7.2,09R
B747,230,7.9,18L
A380,300,15.3,27L
B747,310,17.8,18L
B737,180,12.0,09R
B747,220,11.8,18L
A320,90,7.5,27L
A320,150,10.0,27L
A320,170,13.6,27L
B737,110,10.0,09R
A320,240,12.4,27L
A380,270,14.7,27L
A380,190,14.1,27L
B737,120,16.3,09R
A320,170,14.8,27L
A320,130,9.0,27L
A380,250,11.4,27L
A320,250,8.4,27L
B747,300,12.8,18L
B737,270,17.9,09R
B737,190,14.3,09R
B747,120,10.2,18L
A320,240,10.1,27L
A380,160,12.7,27L
A380,130,11.0,27L
A380,220,15.9,27L
A320,190,8.9,27L
A320,280,14.9,27L
A380,230,8.2,27L
A380,160,18.2,27L
B737,200,9.5,09R
A380,120,17.5,27L
A320,210,11.5,27L
B737,130,12.9,09R
A380,280,12.7,27L
B737,310,13.5,09R
A380,140,7.4,27L
A380,120,18.2,27L
A320,260,13.3,27L
A320,250,8.2,27L
B737,210,17.2,09R
B747,80,11.0,18L
B737,80,14.6,09R
A320,200,18.4,27L
B747,190,9.6,18L
B747,300,12.1,18L
B747,270,16.7,18L
B747,160,15.1,18L
B747,250,15.3,18L
A380,290,9.5,27L
B747,190,16.0,18L
A320,300,18.5,27L
B747,130,7.2,18L
A380,190,10.7,27L
B747,200,12.9,18L
B747,280,12.3,18L
B747,310,16.4,18L
B737,220,13.2,09R
A380,290,8.6,27L
B737,150,8.4,09R
B747,100,12.7,18L
B737,200,15.6,09R
B737,180,12.7,09R
B747,250,12.6,18L
A380,180,17.6,27L
B737,270,15.9,09R
A380,300,8.4,27L
B737,140,8.0,09R
A380,140,15.4,27L
A380,300,16.8,27L
A380,300,8.2,27L
A380,210,12.9,27L
A320,160,15.2,27L
B747,200,7.1,18L
A320,280,8.6,27L
A380,300,18.4,27L
B747,140,8.8,18L
B737,250,7.7,09R
B737,190,12.7,09R
A380,170,12.9,27L
B737,310,18.1,09R
B747,130,17.1,18L
A380,120,8.3,27L
A380,270,12.2,27L
A320,150,7.9,27L
B737,230,12.1,09R
A380,180,12.2,27L
B747,300,15.9,18L
A380,200,15.7,27L
A320,90,10.5,27L
A320,110,13.8,27L
B747,210,9.6,18L
B747,160,9.6,18L
A320,300,8.5,27L
B737,300,12.5,09R
B737,300,17.6,09R
B747,230,7.9,18L
B737,240,10.5,09R
B747,130,17.4,18L
B747,100,15.1,18L
B747,180,16.8,18L
A380,170,17.2,27L
B737,140,11.9,09R
B747,160,17.8,18L
B747,250,12.1,18L
B737,120,7.4,09R
A380,210,16.3,27L
A320,130,12.3,27L
B737,170,15.8,09R
B747,140,15.7,18L
B747,290,16.7,18L
A380,230,12.0,27L
A320,300,11.2,27L
B747,270,9.0,18L
A320,310,13.6,27L
B747,90,8.3,18L
B747,160,7.9,18L
A380,80,9.3,27L
A320,120,13.4,27L
A320,100,12.7,27L
A320,170,13.0,27L
A380,110,12.1,27L
B737,230,16.9,09R
B747,140,9.9,18L
A320,220,11.4,27L
A380,90,10.5,27L
A380,240,8.1,27L
A320,190,14.2,27L
B747,190,17.9,18L
A320,280,18.4,27L
B737,290,15.7,09R
A320,250,9.7,27L
A320,270,9.1,27L
B747,80,9.5,18L
B737,140,9.2,09R
B747,140,10.3,18L
A320,250,10.5,27L
B747,130,12.3,18L
B737,300,7.8,09R
B737,260,18.0,09R
A380,290,8.1,27L
B737,160,9.3,09R
B747,80,14.2,18L
A380,220,14.2,27L
B737,190,11.0,09R
B737,190,13.3,09R
B747,240,17.3,18L
A380,180,15.3,27L
B737,250,10.2,09R
A320,280,11.7,27L
B737,230,16.9,09R
B737,300,17.8,09R
A380,90,15.2,27L
A320,230,17.0,27L
B737,310,15.7,09R
B737,230,9.5,09R
B747,310,17.1,18L
B737,240,18.3,09R
B747,80,15.4,18L
B747,180,15.3,18L
A320,250,11.7,27L
B737,220,10.9,09R
A380,100,13.1,27L
A380,210,9.1,27L
B737,170,11.6,09R
B747,230,11.7,18L
B747,170,12.4,18L
B747,300,17.1,18L
B747,290,7.3,18L
A380,140,9.8,27L
B747,260,11.4,18L
A380,90,10.6,27L
B747,290,13.0,18L
B747,270,16.2,18L
B747,230,15.4,18L
A380,120,13.6,27L
B747,160,18.1,18L
A380,130,13.5,27L
A320,220,10.4,27L
A380,310,14.1,27L
A380,240,17.8,27L
A380,240,17.8,27L
A320,290,7.7,27L
B747,250,9.1,18L
B737,270,13.6,09R
A320,290,9.6,27L
A320,120,10.3,27L
B747,90,8.4,18L
A320,140,16.3,27L
A380,290,9.5,27L
B747,180,15.3,18L
B737,160,12.6,09R
A380,130,16.1,27L
A320,220,15.7,27L
B747,110,16.1,18L
A380,270,17.8,27L
A320,240,9.2,27L
A380,110,17.5,27L
B747,230,14.2,18L
B737,230,10.7,09R
A380,110,16.2,27L
B747,110,12.4,18L
B747,240,12.4,18L
B737,260,17.4,09R
B747,300,11.3,18L
A320,230,17.2,27L
A380,290,9.9,27L
A320,280,13.9,27L
B747,270,13.7,18L
B747,130,14.8,18L
A380,200,13.6,27L
B747,300,10.1,18L
B737,190,13.3,09R
A380,230,18.2,27L
B747,300,10.5,18L
A320,260,14.2,27L
A380,210,16.0,27L
B747,300,16.0,18L
B747,190,7.0,18L
A320,300,7.7,27L
A380,110,16.3,27L
B747,180,16.7,18L
A380,210,12.2,27L
A380,240,11.2,27L
A320,180,14.1,27L
B737,80,15.4,09R
A320,200,9.2,27L
B747,300,12.8,18L
A320,150,9.4,27L
B737,250,8.3,09R
B737,220,15.3,09R
A380,220,13.5,27L
B737,200,15.5,09R
B747,300,16.9,18L
B737,90,8.6,09R
A380,230,7.3,27L
A320,310,12.4,27L
A380,80,10.8,27L
B747,170,10.7,18L
B737,290,15.3,09R
A380,180,12.7,27L
B747,90,8.6,18L
A380,130,9.0,27L
A380,220,7.6,27L
B747,230,14.2,18L
A380,290,8.7,27L
B747,100,18.2,18L
B747,130,15.0,18L
B737,240,15.1,09R
B747,160,10.7,18L
A320,260,14.4,27L
B747,210,7.8,18L
B737,80,18.3,09R
B737,310,7.1,09R
A320,170,12.3,27L
B737,290,9.2,09R
A320,240,18.4,27L
B747,250,7.8,18L
B737,160,16.3,09R
A380,170,8.6,27L
A380,130,12.3,27L
B747,190,16.3,18L
B737,250,9.3,09R
B747,270,16.3,18L
A320,170,15.8,27L
A380,240,15.3,27L
B737,270,18.4,09R
B737,240,15.2,09R
A380,250,17.7,27L
A320,310,13.5,27L
A380,200,8.8,27L
A320,160,9.3,27L
A380,200,14.2,27L
A320,270,12.2,27L
B737,130,13.9,09R
B737,300,15.4,09R
B737,280,12.8,09R
A380,90,16.6,27L
A380,220,15.2,27L
A380,90,12.1,27L
A320,280,12.3,27L
A320,230,12.2,27L
B747,150,10.9,18L
B737,240,13.1,09R
B737,190,8.4,09R
A320,300,17.9,27L
B737,230,9.4,09R
B747,160,11.8,18L
A320,180,18.0,27L
B747,240,10.6,18L
B737,110,10.7,09R
A320,140,12.8,27L
B737,160,16.4,09R
A380,310,8.8,27L
B747,140,15.6,18L
A320,170,17.9,27L
A380,80,18.1,27L
B747,90,13.1,18L
B747,230,9.3,18L
B737,260,8.3,09R
B737,210,17.5,09R
A320,80,16.0,27L
B747,140,11.0,18L
B737,210,8.6,09R
A380,260,13.1,27L
B747,150,11.3,18L
B737,180,18.4,09R
A380,110,17.9,27L
A320,240,10.4,27L
A320,260,8.4,27L
B737,250,18.4,09R
B737,250,18.4,09R
B747,300,17.5,18L
B737,200,15.2,09R
A320,150,15.3,27L
A320,190,8.1,27L
A320,120,16.4,27L
A380,150,8.8,27L
B747,160,16.0,18L
A320,230,12.2,27L
B747,220,11.1,18L
A380,280,10.2,27L
B737,90,8.8,09R
B737,130,8.1,09R
B747,140,12.5,18L
A380,100,11.4,27L
B747,190,14.9,18L
B747,260,13.4,18L
B737,170,15.6,09R
A320,140,18.2,27L
B747,100,14.2,18L
B747,120,13.0,18L
A320,190,14.3,27L
A320,170,15.5,27L
A320,260,9.2,27L
B747,220,9.4,18L
B747,240,18.4,18L
B747,300,14.4,18L
B747,210,14.5,18L
A320,140,13.3,27L
A380,180,7.7,27L
A380,190,7.5,27L
A320,260,15.5,27L
B747,310,9.1,18L
B737,200,7.7,09R
A380,120,18.2,27L
A320,300,14.2,27L
B737,280,8.9,09R
A380,230,13.2,27L
A320,310,17.3,27L
A380,110,10.4,27L
A380,310,14.4,27L
B737,290,13.4,09R
B747,150,8.4,18L
A380,290,17.5,27L
B747,170,11.7,18L
A380,310,9.0,27L
A380,120,9.8,27L
A380,140,9.1,27L
A380,160,11.0,27L
B747,290,8.8,18L
B747,290,14.9,18L
B737,90,9.9,09R
A380,290,12.0,27L
B747,260,11.6,18L
A320,220,12.4,27L
A320,190,9.9,27L
A380,220,8.2,27L
A380,80,9.9,27L
A380,290,7.3,27L
A320,230,8.0,27L
B747,90,18.1,18L
B747,270,7.7,18L
A380,300,7.8,27L
B747,210,13.8,18L
A320,100,8.5,27L
B747,120,9.3,18L
A380,210,16.0,27L
A320,200,12.4,27L
B747,260,7.8,18L
B737,230,11.7,09R
A320,110,10.9,27L
B737,210,10.8,09R
A380,210,9.4,27L
A320,90,15.4,27L
B737,260,16.0,09R
B737,150,7.3,09R
B747,310,11.0,18L
A320,250,13.1,27L
A380,180,9.5,27L
B737,230,17.3,09R
B747,160,13.5,18L
A320,280,9.2,27L
A320,250,15.2,27L
B747,170,7.1,18L
B737,220,13.9,09R
A380,180,7.7,27L
B747,160,15.5,18L
A320,250,12.7,27L
B737,80,14.0,09R
B737,90,9.7,09R
B737,150,12.0,09R
B737,140,13.5,09R
B747,170,7.4,18L
B747,210,9.9,18L
A320,280,7.1,27L
B747,250,11.6,18L
A380,270,13.9,27L
B747,230,16.1,18L
A380,280,15.0,27L
A380,240,15.6,27L
B737,270,11.1,09R
B737,120,13.2,09R
A320,250,8.3,27L
A320,260,14.8,27L
A320,240,14.5,27L
A380,240,8.2,27L
B737,290,17.8,09R
B737,210,11.9,09R
B747,250,17.7,18L
B737,190,10.0,09R
A380,210,13.1,27L
B747,110,15.3,18L
A380,240,14.3,27L
A320,180,8.4,27L
B737,150,13.8,09R
A320,210,8.8,27L
B747,180,11.7,18L
B737,110,17.7,09R
B747,170,12.6,18L
B737,260,12.4,09R
A320,90,13.8,27L
B747,150,9.6,18L
A380,100,14.7,27L
B737,230,18.2,09R
B737,200,17.5,09R
A380,130,13.9,27L
A380,90,17.0,27L
B747,310,8.3,18L
A380,190,13.6,27L
B747,300,18.0,18L
B737,250,18.1,09R
B737,260,15.7,09R
B737,190,15.6,09R
A380,130,7.8,27L
B737,190,8.7,09R
A380,300,13.4,27L
B737,180,13.4,09R
B737,300,16.8,09R
B737,300,17.5,09R
A320,290,12.5,27L
A380,100,16.6,27L
B737,210,11.9,09R
A320,240,13.1,27L
B737,180,11.9,09R
A380,110,16.6,27L
B747,210,13.8,18L
B737,130,16.6,09R
B737,140,12.8,09R
B737,300,8.7,09R
B747,110,16.3,18L
B747,240,11.4,18L
B747,110,7.4,18L
A320,190,8.5,27L
A320,210,15.8,27L
A380,290,13.5,27L
B747,120,17.1,18L
A380,230,14.7,27L
B747,250,16.3,18L
B747,210,11.5,18L
A320,300,11.6,27L
A320,260,14.7,27L
A380,170,13.0,27L
B737,270,13.9,09R
B737,160,17.9,09R
B737,130,15.9,09R
A320,170,16.5,27L
A380,80,9.0,27L
A320,80,14.2,27L
A320,170,7.8,27L
A380,310,15.5,27L
A320,150,9.3,27L
A320,280,16.7,27L
A380,250,16.1,27L
B737,200,11.7,09R
B747,160,18.4,18L
A320,90,13.6,27L
A380,270,10.2,27L
B737,200,9.3,09R
B737,90,18.4,09R
A320,270,11.1,27L
B747,240,12.5,18L
B747,230,15.6,18L
B747,270,16.2,18L
A320,240,17.0,27L
A380,130,11.9,27L
A320,310,18.2,27L
A320,200,8.7,27L
B747,180,16.6,18L
B747,120,16.8,18L
B737,300,16.4,09R
B737,250,8.3,09R
A380,260,15.4,27L
A380,180,18.3,27L
B737,250,11.5,09R
B747,160,15.8,18L
B737,270,11.5,09R
B737,110,15.4,09R
A320,230,12.6,27L
A320,300,14.9,27L
A320,250,13.7,27L
B747,260,11.9,18L
B747,220,18.3,18L
B747,120,7.0,18L
A320,120,16.2,27L
A320,230,14.7,27L
A320,110,15.9,27L
B737,270,11.5,09R
A320,160,12.4,27L
A320,290,15.8,27L
B737,130,17.6,09R
A320,180,11.7,27L
B747,120,17.7,18L
B737,280,14.0,09R
A320,120,13.7,27L
B737,100,14.7,09R
A320,100,8.5,27L
A320,170,10.8,27L
B747,250,14.3,18L
B737,240,11.0,09R
B747,230,10.6,18L
A320,280,12.1,27L
B747,200,7.2,18L
A380,80,14.4,27L
B737,80,8.7,09R
B737,240,12.0,09R
B747,140,18.4,18L
B747,130,12.4,18L
A320,310,7.3,27L
A380,240,13.3,27L
A320,80,7.4,27L
B747,200,16.4,18L
B747,260,11.0,18L
A380,300,15.4,27L
A380,220,12.7,27L
A320,210,13.4,27L
B737,220,9.4,09R
B737,180,14.2,09R
A380,150,12.2,27L
B737,270,10.9,09R
B737,140,9.9,09R
A380,210,10.9,27L
B747,110,15.4,18L
A320,290,10.4,27L
B747,110,16.2,18L
A320,180,16.9,27L
B737,280,8.8,09R
A380,270,9.6,27L
A320,290,11.4,27L
A380,120,7.9,27L
A320,100,13.8,27L
B737,120,12.3,09R
B747,290,9.2,18L
B737,170,12.2,09R
A320,90,10.4,27L
B747,240,16.4,18L
A320,200,17.2,27L
A320,120,12.2,27L
A380,160,17.2,27L
B737,130,7.5,09R
A320,210,11.6,27L
B737,220,15.0,09R
A320,300,10.8,27L
B747,240,11.1,18L
B747,170,13.6,18L
A380,280,8.3,27L
A320,290,10.5,27L
B747,140,11.0,18L
B737,190,16.0,09R
B747,130,16.4,18L
B747,220,10.6,18L
B737,250,10.6,09R
B737,310,17.6,09R
B737,170,15.9,09R
A380,160,14.7,27L
A320,180,10.2,27L
A380,220,13.6,27L
A320,230,8.5,27L
A380,300,17.4,27L
B737,150,8.8,09R
B747,250,16.8,18L
B737,260,11.8,09R
B737,120,17.9,09R
B737,140,13.6,09R
A320,160,9.0,27L
B747,260,13.5,18L
B737,160,7.2,09R
A320,160,8.1,27L
B747,210,16.7,18L
B737,280,17.1,09R
A320,90,12.5,27L
A380,310,17.0,27L
A380,180,10.7,27L
A320,230,10.7,27L
A320,150,7.7,27L
B737,190,7.9,09R
B747,120,8.6,18L
A320,310,13.3,27L
B747,270,9.6,18L
A320,100,8.8,27L
A380,310,14.0,27L
B737,270,12.4,09R
A320,260,17.6,27L
A320,250,7.2,27L
A320,130,10.7,27L
A320,250,10.4,27L
A380,90,7.4,27L
B747,170,13.9,18L
B747,90,9.7,18L
A380,260,10.8,27L
A320,270,9.9,27L
A380,310,16.7,27L
A380,310,7.7,27L
A320,160,15.8,27L
B747,230,16.2,18L
A380,210,7.1,27L
A380,290,12.5,27L
B737,120,8.9,09R
B747,160,17.0,18L
A380,290,13.5,27L
B737,260,10.3,09R
A320,310,16.3,27L
A380,80,10.4,27L
B737,130,13.5,09R
A320,180,14.8,27L
B747,150,17.1,18L
B737,310,10.3,09R
A380,200,11.7,27L
B737,90,8.4,09R
A380,280,12.1,27L
B747,290,7.7,18L
A380,120,16.4,27L
B747,310,16.4,18L
A380,310,17.5,27L
B747,140,14.4,18L
A380,100,17.4,27L
B747,170,11.5,18L
B747,130,17.2,18L
B737,150,10.9,09R
B737,190,10.7,09R
B737,160,11.6,09R
A320,310,10.0,27L
A380,210,9.5,27L
B747,100,11.1,18L
A320,250,8.9,27L
B747,130,15.2,18L
B737,310,7.3,09R
A380,220,17.6,27L
A380,100,12.9,27L
A320,150,13.3,27L
